"
?Elite4Guetta?",~
Champion Francis,~

Champion OnyxE?,@

lookmanohands,+

How About Noctowl,~
Elite Four Yousef,%

BlakJak,~

Destructionator,@

killer tiger,@
Shadow Gara,@
Metallica,%
yo rolo,%
Colresscience,%
blazing (ubers),@
₪Boredy₪,+
Gym Ldr Rodvolt?,+
Quality,%
BrittleWind,&
Figufgyu,+
Prof. Le❄f,@
knifeparty0204,+
deathstroke0204,~
Ayush,+
Elite Four mario!,%
Franken Ştein,&
ej drago,@
Dark Hound,+
wooperex,%
How About Mono,~
Champion Corper,+
Queen of Dubstep,~
Swackback,%
∆Champion arani∆,+
Cosy,&
wingg,+
Plox,+
Desokoro,@
Elite Four Devy,%
Grumpig The Piggy,%
Alakazam's Café,+
coolsmooth,%
FunnyTrainerYousef,@
ApproachingNirvana,~
Frontier? Zeppy,~
Zeppy,~
☯Aura Burst☯,&
BooFTW,&
BlackEclispe,+
arshmalikrs,~
Surfers Unite,+
Champion Yognas,+
Absol~Jackk,+
E4 Photon,~
Frontierhead?Noah,+
BurntLikeBlaziken,+
Pangoro~Jackk,+
♥Eternal○Chaos○42♥,@
GymLeaderTyDestr₪y,%
SilverTactic,+
SooperPooper,&
champion zard,&
proffesorzard,@
♣ Master Blazing ♠,+
The Immortal,@
GymLeaderTyph₪,@
♚ChampVolt♚,+
Skarr,~
BlakJack,~
Checkm8t,~
feebassweepes,+
nCrypt,%
Arcanine7,+
ZeroToxic,%
Pok3yawn,~
E4 Zeppy,~
†E4 Espie†,&
Elite4BlakJack,~
Elite4Zero,%
RyokoEarth,+
Ch?mpion Yousef?,@
Shaurya,~
Cosmic nova,+
Gym Leader Veron,%
Champion Sarynade,~
Gym Leader CGR,%
Gym Leader Ryo,%
Gym Leader Winx,%
Queen EJade,+
₳ elite 4 kswiss ₳,+
Gym Ldr. Yognas,%
boo118,~
Gym Leader Savvyy,%
Gym Leader Frostie,%
Gym Leader Mamo,%
E4 Arsh,~
Gym Leader Xero,%
₪Gym♥Leader♥Lucy₪,%
₪Gym Leader Qoak₪,%
